PID,ADDRESS,CV
001 013 312,754 HIGHLAND AVE,450300
001 013 313,748 HIGHLAND AVE,774100
001 015 501,751 HIGHLAND AVE,697600
001 015 502,749 HIGHLAND AVE,597200
001 015 503,7 9 BLOMERTH ST,814100
001 015 504,15 BLOMERTH ST,965900
001 015 505,HAYWARD ST,236600
001 015 507,12 LILLY ST,801300
001 015 508,BROOKS RD,186400
001 015 509,25 BLOMERTH ST,916800
001 015 510,29 BLOMERTH ST,563300
001 015 511,33 BLOMERTH ST,657700
001 015 512,39 BLOMERTH ST,583100
001 015 513,14 LILLY ST,872300
001 015 514,7 LILLY ST,593200
001 015 515,5 LILLY ST,597200
001 015 516A,3 LILLY ST,569800
001 015 516B,51 BLOMERTH ST,562400
001 015 517,1 LILLY ST,652400
001 015 518,REAR BLOMERTH ST,400
001 015 519,55 BLOMERTH ST,536300
001 015 520,59 BLOMERTH ST,605700
001 015 521,61 BLOMERTH ST,722300
001 015 522,75 BLOMERTH ST,598300
001 015 523,79 BLOMERTH ST,657700
001 015 524,83 BLOMERTH ST,531500
001 015 525,89 BLOMERTH ST,679600
001 015 526,186 EAST BORDER RD,854900
001 015 527,180 EAST BORDER RD,626700
001 015 528,166 EAST BORDER RD,787100
001 015 529,162 EAST BORDER RD,692700
001 015 530,156 EAST BORDER RD,766000
001 015 531,70 HAYWARD ST,826900
001 015 546,HAYWARD ST,30200
001 015 551,LILLY ST,5900
001 015 552,8 HAYWARD ST,679500
001 015 553,719 HIGHLAND AVE,799400
001 015 554,727 HIGHLAND AVE,655900
001 015 555,731 HIGHLAND AVE,596300
001 015 556,735 HIGHLAND AVE,660000
001 015 557,739 HIGHLAND AVE,654200
001 015 558,741 743 HIGHLAND AVE,944600
001 015 559,745 HIGHLAND AVE,651600
001 015 560,HIGHLAND AVE,24600
001 015 562,HAYWARD ST,7600
001 016 601,761 HIGHLAND AVE,595400
001 016 602,763 HIGHLAND AVE,387700
001 016 603,767 HIGHLAND AVE,29700
001 016 604,769 REAR HIGHLAND AVE,13600
001 016 605,18 MAURICE ST,624900
001 016 606,24 MAURICE ST,504200
001 016 607,28 MAURICE ST,60200
001 016 608,14 MAURICE ST,638400
001 016 609,4 MAURICE ST,730000
001 016 610,20 BLOMERTH ST,631000
001 016 611,18 BLOMERTH ST,555700
001 016 612,14 BLOMERTH ST,729000
001 016 613,10 BLOMERTH ST,496600
001 016 614,759 HIGHLAND AVE,647100
